plot,burn,site,date,decid_prop_canopy,piba_prop_canopy,stand_dominance,time_after_fire,moisture,nonvascular_functionalgroup,avg_org_carbon,ecozone,avg_carbon_stock,latitude,longitude 
ZF20-34B,ZF20,ZF20-34,2015-06-28,0,0.027777778,Black Spruce,1,Mesic,Pleurocarpous,13.05,plains,8.215438174,61.607539,-117.153469
ZF20-34C,ZF20,ZF20-34,2015-06-28,0,0.071428573,Black Spruce,1,Mesic,moss sp.,11.2,plains,9.155180766,61.607776,-117.156656
ZF20-35A,ZF20,ZF20-35,2015-07-13,0,0.076923077,Mixed,1,Hydric,Pleurocarpous,18.6,plains,5.141803816,61.632267,-117.101575
ZF20-35B,ZF20,ZF20-35,2015-07-12,0,0.793103446,Jack Pine,1,Mesic,Liverwort,4.1,plains,2.050259356,61.631342,-117.105477
ZF20-40A,ZF20,ZF20-40,2015-06-22,0,0,Black Spruce,1,Xeric,Lichen,1.75,plains,1.210334196,61.631902,-117.132345
ZF20-40B,ZF20,ZF20-40,2015-06-22,0,0,Black Spruce,1,Hydric,Pleurocarpous,29.5,plains,18.29154017,61.632131,-117.130096
ZF20-40C,ZF20,ZF20-40,2015-06-22,0,0.076923077,Black Spruce,1,Xeric,Liverwort,2.4,plains,1.462122807,61.632477,-117.126178
ZF20-43A,ZF20,ZF20-43,2015-07-11,0.100000002,0.400000001,Mixed,1,Xeric,Colonizers,1.9,plains,0.993892319,61.955962,-116.506199
ZF20-43B,ZF20,ZF20-43,2015-07-11,0.02631579,0.078947368,Black Spruce,1,Xeric,Colonizers,2.3,plains,1.700734184,61.954022,-116.503907
ZF20-43C,ZF20,ZF20-43,2015-07-11,0,0,Black Spruce,1,Hydric,Colonizers,25.6,plains,NA,61.953587,-116.501038
ZF20-4A,ZF20,ZF20-4,2015-07-11,0,0,Black Spruce,1,Mesic,Colonizers,5.25,plains,5.299403481,61.862593,-116.597344
ZF20-4B,ZF20,ZF20-4,2015-07-13,0,0,Mixed,1,Xeric,Pleurocarpous,4.35,plains,1.750295906,61.861109,-116.595506
ZF20-52A,ZF20,ZF20-52,2015-06-29,0,0.024096385,Black Spruce,1,Mesic,Pleurocarpous,10.4,plains,8.682591435,61.619688,-117.117879
ZF20-52B,ZF20,ZF20-52,2015-06-29,0,0.146341463,Black Spruce,1,Xeric,Lichen,2.35,plains,2.000249137,61.618889,-117.116484
ZF20-52C,ZF20,ZF20-52,2015-06-29,0,0,Black Spruce,1,Mesic,Pleurocarpous,11.1,plains,5.9872779,61.620689,-117.119482
ZF20-597A,ZF20,ZF20-597,2016-06-09,0,0.055555556,Black Spruce,1,Hydric,Colonizers,20.9,plains,NA,61.80158,-116.72756
ZF20-597B,ZF20,ZF20-597,2016-06-09,0,0.033333333,Black Spruce,1,Xeric,Colonizers,5,plains,NA,61.80063,-116.72488
ZF20-59A,ZF20,ZF20-59,2015-07-12,0.062499999,0.46875,Mixed,1,Xeric,Colonizers,1.65,plains,0.91029963,61.927922,-116.484564
ZF20-59B,ZF20,ZF20-59,2015-07-12,0,0,Black Spruce,1,Mesic,Colonizers,5.75,plains,4.269055751,61.929622,-116.48547
ZF20-64A,ZF20,ZF20-64,2015-07-12,0.11111111,0,Black Spruce,1,Xeric,Colonizers,1.25,plains,0.605673919,61.927088,-116.504774
ZF20-64B,ZF20,ZF20-64,2015-07-12,0,0.933333334,Jack Pine,1,Xeric,Colonizers,1,plains,1.042235226,61.925931,-116.501387
ZF20-64C,ZF20,ZF20-64,2015-07-12,0,0,Black Spruce,1,Hydric,Colonizers,12.2,plains,9.786324642,61.925138,-116.502498
ZF20-6A,ZF20,ZF20-6,2015-06-27,0,0,Black Spruce,1,Xeric,Lichen,8.9,plains,NA,61.691005,-116.960153
ZF20-6B,ZF20,ZF20-6,2015-06-27,0,0,Black Spruce,1,Mesic,Pleurocarpous,4.2,plains,NA,61.691451,-116.955514
ZF20-6C,ZF20,ZF20-6,2015-06-27,0,0,Black Spruce,1,Hydric,Sphagnum,16.1,plains,NA,61.692834,-116.954497
ZF20-8A,ZF20,ZF20-8,2015-07-12,0.461538463,0.153846153,Mixed,1,Xeric,Lichen,5.2,plains,2.688045816,61.83888,-116.636206
ZF20-8B,ZF20,ZF20-8,2015-07-12,0,0,Mixed,1,Hydric,Pleurocarpous,24.7,plains,12.82608436,61.841343,-116.636212
ZF20-8C,ZF20,ZF20-8,2015-07-12,0,0,Black Spruce,1,Mesic,Pleurocarpous,21.3,plains,15.17241378,61.843307,-116.636047
