plot,burn,site,date,decid_prop_canopy,piba_prop_canopy,stand_dominance,time_after_fire,moisture,nonvascular_functionalgroup,avg_org_carbon,ecozone,avg_carbon_stock,latitude,longitude 
ZF46-35C,ZF46,ZF46-35,2015-06-23,0,0.025641026,Black Spruce,1,Mesic,Pleurocarpous,20.75,plains,NA,62.449607,-116.496288
ZF46-37A,ZF46,ZF46-37,2015-08-22,0,0.206896552,Black Spruce,1,Mesic,Colonizers,7.05,plains,NA,62.463903,-116.504655
ZF46-37B,ZF46,ZF46-37,2015-08-22,0,0.107438017,Black Spruce,1,Mesic,Colonizers,5.8,plains,NA,62.464255,-116.506376
ZF46-37C,ZF46,ZF46-37,2015-08-22,0,0.838709676,Jack Pine,1,Xeric,Colonizers,1.6,plains,NA,62.465338,-116.506718
ZF46-401A,ZF46,ZF46-401,2016-06-08,0,0.924731183,Jack Pine,1,Xeric,Lichen,3.3,plains,NA,62.344769,-116.48331
ZF46-401B,ZF46,ZF46-401,2016-06-08,0,0.434782609,Mixed,1,Mesic,Colonizers,2.21,plains,NA,62.347382,-116.487537
ZF46-45A,ZF46,ZF46-45,2015-07-17,0.92,0.08,Deciduous,1,Xeric,Colonizers,1.3,plains,1.390676205,62.37752,-116.508
ZF46-45B,ZF46,ZF46-45,2015-07-17,0.375000001,0.5,Jack Pine,1,Xeric,Colonizers,2.7,plains,1.300132832,62.376817,-116.505267
ZF46-46A,ZF46,ZF46-46,2015-08-21,0.466666668,0.533333332,Jack Pine,1,Xeric,Lichen,1.45,plains,NA,62.379622,-116.494302
ZF46-48A,ZF46,ZF46-48,2015-07-15,0,0.034090909,Black Spruce,1,Mesic,Colonizers,21,plains,NA,62.336107,-116.460835
ZF46-48B,ZF46,ZF46-48,2015-07-15,0.058823529,0.588235294,Jack Pine,1,Xeric,Colonizers,2.15,plains,NA,62.335501,-116.463558
ZF46-48C,ZF46,ZF46-48,2015-07-15,0,1,Jack Pine,1,Xeric,Lichen,2.35,plains,NA,62.334596,-116.466773
ZF46-51A,ZF46,ZF46-51,2015-07-16,0,0.2,Black Spruce,1,Mesic,Colonizers,10.9,plains,NA,62.358387,-116.488399
ZF46-51B,ZF46,ZF46-51,2015-07-16,0.421052631,0.578947369,Jack Pine,1,Xeric,Lichen,0.75,plains,NA,62.35941,-116.490063
ZF46-51C,ZF46,ZF46-51,2015-07-16,0,0.14,Black Spruce,1,Xeric,Pleurocarpous,2.75,plains,NA,62.360056,-116.491887
ZF46-5A,ZF46,ZF46-5,2015-07-16,0,0.070422535,Black Spruce,1,Mesic,Lichen,5.85,plains,3.073746898,62.482005,-116.603527
ZF46-5B,ZF46,ZF46-5,2015-07-16,0,0,Black Spruce,1,Hydric,Pleurocarpous,20.6,plains,11.53996571,62.483731,-116.602948
ZF46-5C,ZF46,ZF46-5,2015-07-16,0.23076923,0.76923077,Jack Pine,1,Xeric,Lichen,1.15,plains,1.281441037,62.48501,-116.600188
ZF46-875A,ZF46,ZF46-875,2016-06-09,0.2,0.68,Jack Pine,1,Xeric,Lichen,1.64,plains,NA,62.349765,-116.497562
